Modello,Accuracy,F1,Precision,Recall,Deviazione Standard,Varianza
Decision Tree,0.9915514592933948,0.9867968347331266,0.9898183979552534,0.9839889560220371,0.6262064483569779,0.3921345159638604
Random Forest,0.9915514592933948,0.9861114308497013,0.9883909109462209,0.9839889560220371,0.6269901902256684,0.3931166986392198
Logistic Regression,0.9900153609831029,0.9849367884606117,0.9812165741990303,0.9889026302997505,0.6326324429493724,0.40022380787209083
